SiteID,SiteId_DC,FieldDate,FieldTime,co2ppm,ch4ppm,wt.x,ph,ch4c_µgl,hco3_moll,dic_mgl,pco2_µatm,co2c_mgl,Timestamp,Date,date,month_day,wt.y,wt_filled,,SampleID
60,DC3,2023-07-19,1899-12-31 10:15:00,1413,3.01,NA,5.67,6.381397165,1.21425086505652e-08,2.967385117,NA,NA,2023-07-19 10:15,2023-07-19,2023-07-19,19-Jul,13.2303125,13.2303125,,DC3 2023-07-19
60,DC3,2021-12-15,1899-12-31 10:44:00,786.6964416,0.661153589,NA,5.49,1.401688917,6.76041638184424e-09,1.652109917,NA,NA,2021-12-15 10:44,2021-12-15,2021-12-15,15-Dec,NA,2,,DC3 2021-12-15
60,DC3,2021-02-17,1899-12-31 12:27:00,1041.994808,NA,NA,5.24,NA,8.95430358652246e-09,2.188251865,NA,NA,2021-02-17 12:27,2021-02-17,2021-02-17,17-Feb,NA,2,,DC3 2021-02-17
60,DC3,2021-04-29,1899-12-31 12:27:00,724.7170372,NA,NA,4.86,NA,6.22780105726071e-09,1.521949434,NA,NA,2021-04-29 12:27,2021-04-29,2021-04-29,29-Apr,NA,2,,DC3 2021-04-29
60,DC3,2019-04-21,1899-12-31 16:25:00,1177.700655,0.53584189,NA,4.77,1.136019907,1.01204815192889e-08,2.473242318,NA,NA,2019-04-21 16:25,2019-04-21,2019-04-21,21-Apr,NA,2,,DC3 2019-04-21
60,DC3,2024-05-15,1899-12-31 12:09:00,482,0.87,NA,5.24,1.844456988,4.14203055171438e-09,1.012229035,NA,NA,2024-05-15 12:09,2024-05-15,2024-05-15,15-May,7.19575,7.19575,,DC3 2024-05-15
60,DC3,2024-04-16,1899-12-31 13:35:00,1249,0.62,NA,4.76,1.314440612,1.07331870520566e-08,2.622975238,NA,NA,2024-04-16 13:35,2024-04-16,2024-04-16,16-Apr,NA,2,,DC3 2024-04-16
60,DC3,2023-08-30,NA,713,3.55,NA,5.06,7.526232537,6.12711158376007e-09,1.49734295,NA,NA,2023-08-30,2023-08-30,2023-08-30,30-Aug,10.76010417,10.76010417,,DC3 2023-08-30
60,DC3,2021-08-03,1899-12-31 10:23:00,1002.718864,4.172548776,NA,4.76,8.846076721,8.61678873430004e-09,2.105770017,NA,NA,2021-08-03 10:23,2021-08-03,2021-08-03,03-Aug,12.36458333,12.36458333,,DC3 2021-08-03
60,DC3,2022-04-05,1899-12-31 11:23:00,800,0.91,NA,5.57,1.929259608,6.87473950492014e-09,1.680048191,NA,NA,2022-04-05 11:23,2022-04-05,2022-04-05,05-Apr,NA,2,,DC3 2022-04-05
60,DC3,2022-09-12,1899-12-31 13:37:00,1007,4.81,NA,5.57,10.19751507,8.65357835181823e-09,2.11476066,NA,NA,2022-09-12 13:37,2022-09-12,2022-09-12,12-Sep,9.778958333,9.778958333,,DC3 2022-09-12
60,DC3,2020-05-15,NA,593.9929512,NA,NA,4.92,NA,5.10443350920919e-09,1.247420979,NA,NA,2020-05-15,2020-05-15,2020-05-15,15-May,7.19575,7.19575,,DC3 2020-05-15
60,DC3,2020-10-21,NA,725.6731219,NA,NA,4.86,NA,6.23601709844856e-09,1.52395727,NA,NA,2020-10-21,2020-10-21,2020-10-21,21-Oct,3.345125,3.345125,,DC3 2020-10-21
60,DC3,2022-04-21,1899-12-31 13:07:00,1566,0.82,NA,4.91,1.738453713,1.34573025808812e-08,3.288694334,NA,NA,2022-04-21 13:07,2022-04-21,2022-04-21,21-Apr,NA,2,,DC3 2022-04-21
60,DC3,2019-06-18,NA,482.9458974,0.926449656,NA,5.09,1.964133956,4.15015904932681e-09,1.014215477,NA,NA,2019-06-18,2019-06-18,2019-06-18,18-Jun,11.61635417,11.61635417,,DC3 2019-06-18
60,DC3,2020-12-15,1899-12-31 11:19:00,659.9923821,NA,NA,4.89,NA,5.67159462789002e-09,1.38602376,NA,NA,2020-12-15 11:19,2020-12-15,2020-12-15,15-Dec,NA,2,,DC3 2020-12-15
60,DC3,2020-11-03,1899-12-31 09:23:00,984.9406351,NA,NA,4.52,NA,8.46401286723099e-09,2.068434665,NA,NA,2020-11-03 09:23,2020-11-03,2020-11-03,03-Nov,NA,2,,DC3 2020-11-03
60,DC3,2024-09-10,1899-12-31 15:43:00,810,6.61,NA,5.43,14.01363298,6.96067374873164e-09,1.701048793,NA,NA,2024-09-10 15:43,2024-09-10,2024-09-10,10-Sep,8.234291667,8.234291667,,DC3 2024-09-10
60,DC3,2022-01-12,1899-12-31 12:34:00,720,NA,NA,5.1,NA,6.18726555442813e-09,1.512043372,NA,NA,2022-01-12 12:34,2022-01-12,2022-01-12,12-Jan,NA,2,,DC3 2022-01-12
60,DC3,2024-07-16,1899-12-31 12:01:00,1170,17.52,NA,5.69,37.14354762,1.00543065259457e-08,2.457070479,NA,NA,2024-07-16 12:01,2024-07-16,2024-07-16,16-Jul,14.88625,14.88625,,DC3 2024-07-16
60,DC3,2022-08-04,1899-12-31 11:17:00,663,5.13,NA,5.33,10.87593603,5.69744036470257e-09,1.392339938,NA,NA,2022-08-04 11:17,2022-08-04,2022-08-04,04-Aug,12.16052083,12.16052083,,DC3 2022-08-04
60,DC3,2021-04-13,1899-12-31 14:45:00,857.7270205,NA,NA,5.02,NA,7.37081229075209e-09,1.801278412,NA,NA,2021-04-13 14:45,2021-04-13,2021-04-13,13-Apr,NA,2,,DC3 2021-04-13
60,DC3,2021-04-08,1899-12-31 13:01:00,1032.272026,NA,NA,4.91,NA,8.87075159801059e-09,2.167833438,NA,NA,2021-04-08 13:01,2021-04-08,2021-04-08,08-Apr,NA,2,,DC3 2021-04-08
